nome_produtora,sk_company_id
Centro De Capacitación Cinematográfica (ccc),245c997ec798c59b4d90dce00281419ee434b876f96b1f4dddb2f7fb5649edba
Surplus Project,3f3f4c1e713b390413bbf466b37e30caa23391c6f0639e77733cc7120c3915b4
Clubhouse Pictures,fff7c0c0c4f0f27bb705addc557af9fb9a0b30b27dbfb2cd8357b82eee0c45b9
Sammy,a7e601839bc42322a0ae6583d824f101898d42e45f0ec9fdf9cd595a74dfd4af
Wheelhouse Creative,92f1e7e8512946e4732cfea631c73081f7b4d4b30516a01e23032c052f9a6d76
Tunisia 2.0,113853736c05fa73d10c6596663584809c652a979852569765bd5f1081b2b4a4
Nira,8ea1658d940f2595a545ddfa14cd83c3212272b9e1702f23adf2056ad740195d
20 Seconds Of Courage,f605913e836b235a6e4fa03cf8a6f878f73ab4709b97d5cfc61cc97431183e86
Rock Partner Film,1c0165505f37dc25fdcd2d5deee574f12778991704946a28d01fe841e68604e3
King Records,ed59fbc70fec89acb1d541508d743dfd2804cac259f541546424486be6edbc2d
Three Wise Monkeys Productions,2607d567303886939faf10f51c80cc52583bfdefa93f4515d2f8dec798711c9d
Midnight Pulp,94d23b0d7a6614c5030be1e104e0725b9bfac4bfa513ec7c9efcfb3afc4b29fc
Search Party,2cb71498108c4835c56c56e043c82aae2a1aecbf0279d1311b0453f58a57ff25
Traziende Films,00ab7601c28cb843e04e20f39d7091900d5e4d1cacf9385672dcd12ab015106b
Good Old Days,5f4880c9c9a105c33cd1e3316a4c24e6fb6db9582e6fe4632d320f3dce4da04c
Federal Films,349c0c6a15a6d7db5f2007177c70834864d030073d1961dd12f0bbe9f4b70bc4
Wil Film,691be7ec5eb83a0a712f492bcb7df64ea358ee44d924ac23d78bf6fabefd506d
Hope & Glory Pictures,d9cb61458a1b73e90122b764151209766740e84dcc7b6ba8a90bc2d30f939c26
Spot Production,32def5a341008855965b1ea0e6c002485bf29bf574f6147c8c4247eaaabc1dc1
Soul Pancake,78bd60433ab01f25f31698ddb186d03f1ecb24dbb8085bba8dc6c371d68bd279
Left Bank Pictures,728206aa522a8a9dea650c951cd74a6f2362e5ecd744f984446468cc8f18e328
Tak Films,c63782a197160806eba4702f75f48efdecc928daba43b0e5d20853291a44e997
M&m Films,dc2445c99d5953eac5aa96bec95a800dd30b43a03902477dc271da7190794014
Hippo Entertainment Group,41460a2e6db02337a9817fef1ca5b95e4abdfc9e36f53fc310c03d1e4b32926e
Shaiker,b465be8b47e9663c2aea3239e982db1aab09950e1475506c6a2f325a60c15d68
Goldrush Entertainment,a678dc46859baecddc80f4c70df916eea225729a9fa3ae870cb890f6b5f837b4
Gifted Films,4398192e1d6437ab708ff3213f09a3e5e01f20ad1a30f936cf411c5b5b83c8a0
Ucp,a90109a8e797edca0424cf42bfb5da65824fe6305f3c878cb9bb7a02231815d8
Fabian&fred Gmbh,c0637edf533ebcfe850fe82b0ee389e2ffbb915760ead7298d9fdc629bc53ee3
No Thing Productions,234ad916fe1777b2b0eaf4e13012aacf91582b491270d8f32c6331d1cc333f23
Filmcode Yapım,76480f6dac5dbb1837ffb0e09a384f0e5b7fdc421c29edfc2ee966bdd87a992c
Illégitime Défense,1a3694d86fde5988b9605a956cce1eb6f02d7e8bcc6a1ebee0c013d731bf22ba
Balkans Gate,3229650ff0ee96dbd4a6b1b3b2736b02d72fe65cf2a87d41456ba399b7485f1c
Eesti Joonisfilm,aa139106f05d409550d8ba136dc743e208a61473c04f427d8bc45086d4dbd5eb
Chalkboard Tv,2201f8e013678e1b931956eec30217d72489b75f5bd6344e2580e874b98c4f05
Windowseat Films,47250e522dcdcaf0eac898eac0d17d161a4135ecb8fa06627de09c3cf332d0ba
Kalamalka Productions Limited,a912f879f2c437cfe78f2f4501b1b4c5f19a72a172fe26e65c7027951a21b334
Endemol Shine Argentina,f3aa94284d185e93c01b6ef3048e08264167a20b6bdcc4fe40ce231f0343e28c
Incognito Films,cce89d6ffbac489bd2230d3736cbed4a58bcad12336da4acbbdfc9ebda5c7633
Chosen Few Films,451540565c768665472533f290245cbde7433fee34b00a12f0b3a706f16726c3
Company,de4743c879734dc38cb3e270ecefcae077c3c2e626f9298115d5a03c8613f89b
Bay Video,4f852194c4a8bfb3df75938cd622545724881136160a8f9a234d38af608b5509
Lionceau Films,d21f6319c57d1b118c2a420820ec584cea11eaa2dcfb4cc99e4d57a062eb2fcc
Mr. Nanayev,aa2368780f5403005442cf3c9f4137b0d9af88d8661f871b30f4c4531d837d8f
Matthieu Brouillard,bdd95adbe674fe9e55f3880f52d5452a58304cbe005d4299c17dc4fda27da10c
Two Joker Films,5a2b4e7c943d7d0b64f54a084c9ef8ff19ba2af3dab58078045aced628190bdb
Endeavor Content,0297420bfce9595a83d1c3af4b9e7d0480004e18b96f8b2be0652c48986dc8d2
Dr,18da5e45a47fa94496ccb43902957817dbff6cdab09a3cf892249140615ed75c
